Age,Gender,Department,Job_Title,Years_at_Company,Satisfaction_Level,Average_Monthly_Hours,Promotion_Last_5Years,Salary,Attrition,Satisfaction_Hours,Salary_Rank,Satisfaction_Tenure,Department_Attrition_Rate,Department_Satisfaction_Impact,Satisfaction_Per_Hour
53,1,Sales,Engineer,10,0.2611608894502527,221,1,79947,0,57.716556568505844,Medium,2.6116088945025266,0.49282296650717705,0.12870608427452646,0.0011817234816753515
44,1,Sales,Engineer,10,0.6362438875959893,229,1,74307,0,145.69985025948154,Medium,6.362438875959892,0.49282296650717705,0.31355560010711436,0.0027783575877554116
47,0,Sales,HR Specialist,10,0.8890176690263424,237,0,97212,0,210.69718755924313,High,8.890176690263424,0.49282296650717705,0.43812832492685777,0.0037511294051744406
57,1,Sales,Analyst,8,0.9816786912170572,171,0,50113,0,167.86705619811679,Medium,7.853429529736458,0.49282296650717705,0.4837938047624732,0.005740811059748873
58,1,Sales,Manager,4,0.921873191428868,160,1,95910,0,147.49971062861889,High,3.687492765715472,0.49282296650717705,0.4543202809434134,0.005761707446430425
55,1,Sales,Analyst,6,0.9974983056464304,224,1,59231,0,223.4396204648004,Medium,5.984989833878583,0.49282296650717705,0.4915900740745566,0.004453117435921564
35,0,Sales,Analyst,3,0.629359923471385,220,0,59546,0,138.4591831637047,Medium,1.888079770414155,0.49282296650717705,0.3101630244858979,0.002860726924869932
52,0,Sales,HR Specialist,6,0.4215038668673729,161,1,99265,0,67.86212256564704,High,2.5290232012042373,0.49282296650717705,0.20772678606382494,0.002618036440170018
37,1,Sales,Manager,8,0.750597549458096,233,1,34834,1,174.88922902373636,Low,6.004780395664768,0.49282296650717705,0.3699117109769564,0.0032214487101205834
43,0,Sales,Accountant,2,0.4754604664455235,229,1,56938,1,108.88044681602487,Medium,0.950920932891047,0.49282296650717705,0.234317837530569,0.0020762465783647314
42,0,Sales,Accountant,6,0.8121612517693029,249,1,62841,1,202.22815169055642,Medium,4.872967510615817,0.49282296650717705,0.4002517173791301,0.003261691774173907
28,1,Sales,Analyst,10,0.908369402889997,196,1,30269,1,178.04040296643942,Low,9.08369402889997,0.49282296650717705,0.4476653038166014,0.004634537769846923
36,0,Sales,Accountant,8,0.6884839803327588,160,1,71087,0,110.1574368532414,Medium,5.5078718426620705,0.49282296650717705,0.33930071758025915,0.004303024877079743
50,0,Sales,Accountant,8,0.7533324155402383,214,1,89560,1,161.213136925611,High,6.026659324321907,0.49282296650717705,0.37125951579255767,0.00352024493243102
28,0,Sales,Analyst,6,0.4635655413211493,165,0,46658,0,76.48831431798963,Low,2.781393247926896,0.49282296650717705,0.22845574524439416,0.0028094881292190866
44,0,Sales,Analyst,7,0.0679474523347238,185,0,43038,0,12.570278681923902,Low,0.4756321663430666,0.49282296650717705,0.0334860650262036,0.0003672835261336421
31,0,Sales,Manager,8,0.0744384184792443,225,1,50000,1,16.74864415782997,Low,0.5955073478339544,0.49282296650717705,0.03668496221704384,0.000330837415463308
30,0,Sales,Analyst,3,0.9759798861063104,192,1,66952,1,187.3881381324116,Medium,2.927939658318931,0.49282296650717705,0.48098530272224865,0.005083228573470366
50,1,Sales,Analyst,1,0.9164436095186694,173,1,97663,0,158.54474444672982,High,0.9164436095186694,0.49282296650717705,0.45164445827953564,0.005297361904732193
44,1,Sales,Accountant,8,0.7113761826437848,163,1,64897,1,115.95431777093692,Medium,5.691009461150278,0.49282296650717705,0.3505825206330614,0.004364271059164324
32,0,Sales,Engineer,6,0.8732228709264533,238,1,40798,0,207.8270432804959,Low,5.23933722555872,0.49282296650717705,0.4303442856718885,0.003669003659354846
31,0,Sales,Manager,2,0.4489629871717319,201,0,84407,0,90.24156042151812,High,0.8979259743434638,0.49282296650717705,0.22125927118989658,0.0022336467023469247
38,1,Sales,Analyst,5,0.3412185341167113,225,1,76806,1,76.77417017626004,Medium,1.7060926705835566,0.49282296650717705,0.16816033021062807,0.0015165268182964948
31,1,Sales,Accountant,4,0.9360951479087892,209,0,73359,0,195.64388591293695,Medium,3.744380591635157,0.49282296650717705,0.46132918772538417,0.004478924152673633
48,1,Sales,Engineer,4,0.7517409791142201,239,1,98429,1,179.66609400829861,High,3.0069639164568804,0.49282296650717705,0.3704752193720798,0.0031453597452477827
58,0,Sales,HR Specialist,4,0.9485216582843012,199,0,93166,1,188.75580999857596,High,3.794086633137205,0.49282296650717705,0.46745325743197624,0.004766440493890961
49,1,Sales,HR Specialist,9,0.1270735768470797,178,1,37543,0,22.61909667878019,Low,1.1436621916237173,0.49282296650717705,0.06262477710645555,0.0007138964991408972
34,1,Sales,Manager,9,0.687645876345314,165,1,61668,1,113.46156959697682,Medium,6.188812887107827,0.49282296650717705,0.3388876806869251,0.004167550765729176
53,0,Sales,Analyst,5,0.6717440322109104,245,0,45278,0,164.57728789167305,Low,3.358720161054552,0.49282296650717705,0.3310508866876736,0.002741812376371063
48,1,Sales,Manager,8,0.5134980096275745,194,1,76164,0,99.61861386774946,Medium,4.107984077020596,0.49282296650717705,0.25306361240019226,0.0026468969568431678
