Age,Gender,Department,Job_Title,Years_at_Company,Satisfaction_Level,Average_Monthly_Hours,Promotion_Last_5Years,Salary,Attrition,Satisfaction_Hours,Salary_Rank,Satisfaction_Tenure,Department_Attrition_Rate,Department_Satisfaction_Impact,Satisfaction_Per_Hour,Age_Satisfaction,Salary_Tenure
27,0,Marketing,Manager,9,0.5862512562476163,151,0,60132,0,88.52393969339006,Medium,5.276261306228546,0.42105263157894735,0.24684263420952265,0.0038824586506464656,15.828783918685641,541188
53,1,Sales,Engineer,10,0.2611608894502527,221,1,79947,0,57.716556568505844,Medium,2.6116088945025266,0.49282296650717705,0.12870608427452646,0.0011817234816753515,13.841527140863391,799470
59,1,Marketing,Analyst,8,0.3043817175126141,184,0,46958,1,56.006236022321,Low,2.435053740100913,0.42105263157894735,0.12816072316320593,0.001654248464742468,17.95852133324423,375664
42,1,Engineering,Manager,1,0.4807788698060304,242,0,40662,0,116.34848649305935,Low,0.4807788698060304,0.5343137254901961,0.25688674906302605,0.0019866895446530182,20.192712531853278,40662
44,1,Sales,Engineer,10,0.6362438875959893,229,1,74307,0,145.69985025948154,Medium,6.362438875959892,0.49282296650717705,0.31355560010711436,0.0027783575877554116,27.99473105422353,743070
47,0,Sales,HR Specialist,10,0.8890176690263424,237,0,97212,0,210.69718755924313,High,8.890176690263424,0.49282296650717705,0.43812832492685777,0.0037511294051744406,41.78383044423809,972120
58,0,Marketing,HR Specialist,5,0.6889765787941906,155,1,97865,0,106.79136971309954,High,3.444882893970953,0.42105263157894735,0.2900954015975539,0.0044450101857689715,39.96064157006305,489325
57,1,Sales,Analyst,8,0.9816786912170572,171,0,50113,0,167.86705619811679,Medium,7.853429529736458,0.49282296650717705,0.4837938047624732,0.005740811059748873,55.95568539937226,400904
34,1,Finance,Accountant,6,0.010380901722245,177,1,88747,1,1.837419604837365,High,0.06228541033347,0.5194174757281553,0.005392021768350558,5.864916227257062e-05,0.35295065855633,532482
57,1,Marketing,Engineer,7,0.4667823596824307,170,0,43283,0,79.35300114601321,Low,3.267476517777015,0.42105263157894735,0.1965399409189182,0.0027457785863672394,26.60659450189855,302981
57,1,HR,HR Specialist,5,0.3626250696783515,178,1,82510,1,64.54726240274657,High,1.8131253483917575,0.5026178010471204,0.18226181512629186,0.0020372194925750084,20.669628971666036,412550
50,0,Marketing,Accountant,3,0.177106991916612,158,0,55665,0,27.982904722824696,Medium,0.531320975749836,0.42105263157894735,0.07457136501752083,0.0011209303285861518,8.8553495958306,166995
44,0,HR,Engineer,1,0.2342370590462392,180,0,57951,1,42.162670628323056,Medium,0.2342370590462392,0.5026178010471204,0.11773171554156525,0.001301316994701329,10.306430598034526,57951
39,1,Marketing,Analyst,7,0.2271984799512277,249,1,31886,1,56.572421507855694,Low,1.5903893596585938,0.42105263157894735,0.09566251787420113,0.0009124436945832438,8.86074071809788,223202
57,0,Finance,Manager,9,0.8222120732860275,242,0,40548,1,198.97532173521867,Low,7.399908659574248,0.5194174757281553,0.42707131961944145,0.0033975705507687088,46.86608817730357,364932
41,0,Engineering,Accountant,10,0.5834543121833854,199,1,39979,0,116.10740812449369,Low,5.834543121833854,0.5343137254901961,0.31174764719602455,0.002931931217001937,23.9216267995188,399790
29,0,Finance,Accountant,5,0.4011926780788498,222,0,31340,1,89.06477453350465,Low,2.005963390394249,0.5194174757281553,0.2083864881283346,0.0018071742255804043,11.634587664286643,156700
28,0,Finance,Accountant,9,0.5187154765048624,169,1,79639,0,87.66291552932174,Medium,4.668439288543762,0.5194174757281553,0.26942988342728286,0.0030693223461826175,14.524033342136146,716751
27,0,Engineering,Manager,8,0.8482168664314631,193,1,50307,0,163.70585522127237,Medium,6.785734931451705,0.5343137254901961,0.4532139139266151,0.004394906043686337,22.901855393649505,402456
45,1,HR,Manager,5,0.5232801758648524,154,1,99568,1,80.58514708318728,High,2.616400879324262,0.5026178010471204,0.26300993132474254,0.003397923219901639,23.54760791391836,497840
27,1,Finance,Manager,10,0.0985981855870322,211,1,89409,1,20.804217158863796,High,0.985981855870322,0.5194174757281553,0.05121362066899245,0.0004672899790854607,2.6621510108498696,894090
45,0,Engineering,HR Specialist,4,0.6455399096929486,172,0,94005,0,111.03286446718717,High,2.5821596387717944,0.5343137254901961,0.3449208341006441,0.0037531390098427247,29.049295936182688,376020
32,1,Engineering,Analyst,9,0.6532311017656622,191,0,63445,1,124.7671404372415,Medium,5.87907991589096,0.5343137254901961,0.3490303435904764,0.003420058124427551,20.90339525650119,571005
53,0,Marketing,HR Specialist,9,0.6232736072503224,216,1,99093,0,134.62709916606966,High,5.609462465252902,0.42105263157894735,0.2624309925264515,0.0028855259594922334,33.03350118426709,891837
58,1,Sales,Manager,4,0.921873191428868,160,1,95910,0,147.49971062861889,High,3.687492765715472,0.49282296650717705,0.4543202809434134,0.005761707446430425,53.46864510287435,383640
46,1,Marketing,Engineer,9,0.2122397241251595,162,1,80913,1,34.382835308275844,High,1.9101575171264356,0.42105263157894735,0.08936409436848822,0.0013101217538590093,9.763027309757337,728217
55,1,Sales,Analyst,6,0.9974983056464304,224,1,59231,0,223.4396204648004,Medium,5.984989833878583,0.49282296650717705,0.4915900740745566,0.004453117435921564,54.86240681055367,355386
52,1,Finance,HR Specialist,6,0.0684118319159797,156,0,68979,0,10.672245778892833,Medium,0.4104709914958782,0.5194174757281553,0.035534301043737025,0.00043853738407679296,3.5574152596309445,413874
59,1,Marketing,Accountant,8,0.7794191135416246,183,1,65901,0,142.6336977781173,Medium,6.235352908332997,0.42105263157894735,0.3281764688596314,0.004259120839025271,45.985727698955856,527208
58,0,Finance,Analyst,3,0.6147826229331329,194,1,85496,1,119.26782884902778,High,1.8443478687993986,0.5194174757281553,0.31932883812546226,0.003168982592438829,35.65739213012171,256488
37,0,Engineering,Analyst,6,0.791576766925783,191,1,91627,1,151.19116248282455,High,4.7494606015546985,0.5343137254901961,0.42295033134759974,0.004144380978669021,29.288340376253974,549762
28,1,Marketing,Analyst,10,0.3549899515460142,203,1,91703,1,72.06296016384088,High,3.549899515460142,0.42105263157894735,0.14946945328253228,0.0017487189731330748,9.939718643288398,917030
30,1,HR,HR Specialist,8,0.9972321903265292,237,1,51252,0,236.34402910738743,Medium,7.977857522612234,0.5026178010471204,0.5012266506353236,0.004207730760871432,29.916965709795875,410016
25,0,Engineering,Accountant,1,0.1260031315839109,172,1,63757,1,21.672538632432676,Medium,0.1260031315839109,0.5343137254901961,0.06732520266003082,0.0007325763464180867,3.1500782895977726,63757
36,1,HR,Accountant,6,0.637980114052539,154,0,84288,1,98.248937564091,High,3.8278806843152338,0.5026178010471204,0.3206601620368782,0.004142728013328175,22.9672841058914,505728
59,0,HR,HR Specialist,7,0.9634812500143196,212,0,86371,0,204.25802500303575,High,6.744368750100238,0.5026178010471204,0.48426282723232816,0.004544722877426036,56.845393750844856,604597
35,0,Sales,Analyst,3,0.629359923471385,220,0,59546,0,138.4591831637047,Medium,1.888079770414155,0.49282296650717705,0.3101630244858979,0.002860726924869932,22.027597321498476,178638
47,0,HR,Accountant,5,0.5478731972934493,247,1,80887,0,135.32467973148198,High,2.7393659864672464,0.5026178010471204,0.2753708216762886,0.0022181101104997948,25.750040272792116,404435
38,0,Marketing,HR Specialist,9,0.4250006964690613,247,0,52658,1,104.97517202785814,Medium,3.8250062682215518,0.42105263157894735,0.1789476616711837,0.001720650592992151,16.15002646582433,473922
43,0,Finance,Accountant,5,0.6735533011395514,201,0,70977,0,135.38421352904982,Medium,3.367766505697757,0.5194174757281553,0.34985535544627183,0.0033510114484554794,28.96279194900071,354885
40,1,HR,Analyst,10,0.8142447004066163,222,0,40055,0,180.76232349026884,Low,8.142447004066163,0.5026178010471204,0.40925388083264486,0.003667768920750524,32.56978801626465,400550
52,0,Sales,HR Specialist,6,0.4215038668673729,161,1,99265,0,67.86212256564704,High,2.5290232012042373,0.49282296650717705,0.20772678606382494,0.002618036440170018,21.91820107710339,595590
55,0,HR,HR Specialist,7,0.9900196957951592,162,0,33670,1,160.3831907188158,Low,6.9301378705661145,0.5026178010471204,0.497601522493902,0.0061112326900935755,54.45108326873376,235690
